n,x
800.,4.057488696049198
805.,4.187600028291646
810.,4.3245415948457
815.,4.4688657114135255
820.,4.621185889709629
825.,4.782185554537603
830.,4.952628294647431
835.,5.133369971739924
840.,5.3253730928244805
845.,5.529723955370393
850.,5.74765321009229
855.,5.980560663487132
860.,6.230045376296258
865.,6.4979424258530845
870.,6.786368119576757
875.,7.0977760165186154
880.,7.435026896246318
885.,7.801476901550726
890.,8.201089611413012
895.,8.63857998320781
900.,9.119601262914646
905.,9.650990610815532
910.,10.241096150376563
915.,10.900218771510076
920.,11.641218581521525
925.,12.480362330623281
930.,13.438531445002264
935.,14.54298335887102
940.,15.829986236480869
945.,17.348877871782005
950.,19.16853582195659
955.,21.388113575156435
960.,24.155729459970363
965.,27.702949055400005
970.,32.413184864555824
975.,38.97056658704854
980.,48.72667165419697
985.,64.77706252098845
990.,96.11368139000291
993.,134.9713948451712
994.,155.89492672632068
995.,184.42718521300438
996.,225.6407955220568
997.,290.4058757832332
998.,406.98560235362004
999.,-6.42175246761932e16